Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,2/8/2020,Male,5-14 years,56,0
9/23/2020,2/8/2020,Male,15-24 years,444,0
9/23/2020,2/8/2020,Male,25-34 years,806,0
9/23/2020,2/8/2020,Male,35-44 years,"1,084",0
9/23/2020,2/8/2020,Male,45-54 years,"1,969",0
9/23/2020,2/8/2020,Male,55-64 years,"4,726",0
9/23/2020,2/8/2020,Male,65-74 years,"6,677",0
9/23/2020,2/8/2020,Male,75-84 years,"7,311",0
9/23/2020,2/8/2020,Male,85 years and over,"7,173",0
9/23/2020,2/8/2020,Male,All ages,"30,530",0
9/23/2020,2/15/2020,Male,Under 1 year,188,0
9/23/2020,2/15/2020,Male,1-4 years,37,0
9/23/2020,2/15/2020,Male,5-14 years,72,0
9/23/2020,2/15/2020,Male,15-24 years,408,0
9/23/2020,2/15/2020,Male,25-34 years,819,0
9/23/2020,2/15/2020,Male,35-44 years,"1,086",0
9/23/2020,2/15/2020,Male,45-54 years,"1,865",0
9/23/2020,2/15/2020,Male,55-64 years,"4,710",0
9/23/2020,2/15/2020,Male,65-74 years,"6,614",0
9/23/2020,2/15/2020,Male,75-84 years,"7,438",0
9/23/2020,2/15/2020,Male,85 years and over,"6,926",0
9/23/2020,2/15/2020,Male,All ages,"30,163",0
9/23/2020,2/22/2020,Male,Under 1 year,207,0
9/23/2020,2/22/2020,Male,1-4 years,42,0
9/23/2020,2/22/2020,Male,5-14 years,61,0
9/23/2020,2/22/2020,Male,15-24 years,387,0
9/23/2020,2/22/2020,Male,25-34 years,840,0
9/23/2020,2/22/2020,Male,35-44 years,"1,068",0
9/23/2020,2/22/2020,Male,45-54 years,"1,986",0
9/23/2020,2/22/2020,Male,55-64 years,"4,606",1
9/23/2020,2/22/2020,Male,65-74 years,"6,618",1
9/23/2020,2/22/2020,Male,75-84 years,"7,274",0
9/23/2020,2/22/2020,Male,85 years and over,"7,114",0
9/23/2020,2/22/2020,Male,All ages,"30,203",2
9/23/2020,2/29/2020,Male,Under 1 year,235,0
9/23/2020,2/29/2020,Male,1-4 years,39,0
9/23/2020,2/29/2020,Male,5-14 years,65,0
9/23/2020,2/29/2020,Male,15-24 years,412,0
9/23/2020,2/29/2020,Male,25-34 years,891,0
9/23/2020,2/29/2020,Male,35-44 years,"1,060",0
9/23/2020,2/29/2020,Male,45-54 years,"2,034",1
9/23/2020,2/29/2020,Male,55-64 years,"4,698",1
9/23/2020,2/29/2020,Male,65-74 years,"6,706",2
9/23/2020,2/29/2020,Male,75-84 years,"7,443",1
9/23/2020,2/29/2020,Male,85 years and over,"6,954",0
9/23/2020,2/29/2020,Male,All ages,"30,537",5
9/23/2020,3/7/2020,Male,Under 1 year,195,0
9/23/2020,3/7/2020,Male,1-4 years,46,0
9/23/2020,3/7/2020,Male,5-14 years,58,0
9/23/2020,3/7/2020,Male,15-24 years,444,0
9/23/2020,3/7/2020,Male,25-34 years,819,1
9/23/2020,3/7/2020,Male,35-44 years,"1,153",1
9/23/2020,3/7/2020,Male,45-54 years,"1,982",0
9/23/2020,3/7/2020,Male,55-64 years,"4,817",5
9/23/2020,3/7/2020,Male,65-74 years,"6,824",7
